entry_date,entry_price,prob_tp,exit_type,exit_price,exit_time,pnl_pct,duration_minutes
2025-08-01 02:00:00,3488.2,0.64219433,sl,3453.3179999999998,2025-08-02 15:45:00,-0.01,825.0
2025-08-02 02:00:00,3393.94,0.6510048,tp,3461.8188,2025-08-03 08:00:00,0.02,360.0
2025-08-13 02:00:00,4749.3,0.60011065,sl,4701.807,2025-08-14 10:30:00,-0.01,510.0
2025-08-14 02:00:00,4546.84,0.7813887,tp,4637.776800000001,2025-08-15 02:45:00,0.02,45.0
2025-08-15 02:00:00,4439.47,0.6931826,sl,4395.0753,2025-08-16 09:45:00,-0.01,465.0
2025-08-16 02:00:00,4421.99,0.66683584,tp,4510.4298,2025-08-17 08:45:00,0.02,405.0
2025-08-17 02:00:00,4472.33,0.71449554,sl,4427.6067,2025-08-18 02:00:00,-0.01,0.0
2025-08-18 02:00:00,4312.99,0.6692678,sl,4269.8601,2025-08-19 03:00:00,-0.01,60.0
2025-08-19 02:00:00,4075.59,0.7458188,tp,4157.1018,2025-08-20 03:30:00,0.02,90.0
2025-08-20 02:00:00,4336.16,0.66670686,sl,4292.7984,2025-08-21 02:15:00,-0.01,15.0
2025-08-21 02:00:00,4225.3,0.653727,tp,4309.8060000000005,2025-08-22 02:15:00,0.02,15.0
2025-08-22 02:00:00,4832.07,0.65134394,sl,4783.7492999999995,2025-08-23 02:00:00,-0.01,0.0
2025-08-25 02:00:00,4376.18,0.7089513,tp,4463.703600000001,2025-08-26 11:00:00,0.02,540.0
2025-08-26 02:00:00,4600.63,0.65312356,sl,4554.6237,2025-08-27 02:00:00,-0.01,0.0
2025-09-02 02:00:00,4326.5,0.6202869,tp,4413.03,2025-09-03 13:30:00,0.02,690.0
2025-09-04 02:00:00,4297.55,0.67812777,tp,4383.501,2025-09-05 07:30:00,0.02,330.0
2025-09-05 02:00:00,4307.45,0.671709,sl,4264.3755,2025-09-06 15:45:00,-0.01,825.0
2025-09-08 02:00:00,4306.37,0.6013089,eod,4302.78,2025-09-10 01:45:00,-0.0008336487575382853,1440.0
2025-09-12 02:00:00,4712.16,0.629123,sl,4665.0383999999995,2025-09-13 13:45:00,-0.01,705.0
2025-09-23 02:00:00,4164.26,0.60786283,sl,4122.6174,2025-09-24 04:00:00,-0.01,120.0
2025-09-25 02:00:00,3874.36,0.6275948,tp,3951.8472,2025-09-26 02:00:00,0.02,0.0
2025-09-26 02:00:00,4032.24,0.64385444,sl,3991.9175999999998,2025-09-27 08:00:00,-0.01,360.0
2025-09-27 02:00:00,4018.38,0.62636423,sl,3978.1962,2025-09-28 12:30:00,-0.01,630.0
2025-09-28 02:00:00,4142.16,0.7214459,sl,4100.7384,2025-09-29 06:00:00,-0.01,240.0
2025-09-30 02:00:00,4145.15,0.717146,tp,4228.053,2025-10-01 08:30:00,0.02,390.0
2025-10-10 02:00:00,3829.72,0.7885497,sl,3791.4228,2025-10-11 02:00:00,-0.01,0.0
2025-10-11 02:00:00,3746.79,0.8729091,sl,3709.3221,2025-10-12 02:00:00,-0.01,0.0
2025-10-14 02:00:00,4125.02,0.7814803,sl,4083.7698000000005,2025-10-15 03:15:00,-0.01,75.0
2025-10-15 02:00:00,3985.61,0.76554906,sl,3945.7539,2025-10-16 09:30:00,-0.01,450.0
2025-10-16 02:00:00,3894.51,0.77598864,sl,3855.5649000000003,2025-10-17 06:30:00,-0.01,270.0
2025-10-17 02:00:00,3831.57,0.80868995,tp,3908.2014000000004,2025-10-18 07:00:00,0.02,300.0
2025-10-18 02:00:00,3889.21,0.6452977,sl,3850.3179,2025-10-19 08:15:00,-0.01,375.0
2025-10-19 02:00:00,3982.58,0.63715243,sl,3942.7542,2025-10-20 02:00:00,-0.01,0.0
2025-10-20 02:00:00,3979.22,0.66448736,sl,3939.4278,2025-10-21 02:00:00,-0.01,0.0
2025-10-21 02:00:00,3873.05,0.7772492,sl,3834.3195,2025-10-22 09:15:00,-0.01,435.0
2025-10-22 02:00:00,3805.53,0.73175097,tp,3881.6406,2025-10-23 06:15:00,0.02,255.0
2025-11-03 01:00:00,3603.83,0.76317936,sl,3567.7916999999998,2025-11-04 05:15:00,-0.01,255.0
2025-11-04 01:00:00,3287.05,0.8721923,sl,3254.1795,2025-11-05 01:00:00,-0.01,0.0
2025-11-06 01:00:00,3315.14,0.78243756,sl,3281.9885999999997,2025-11-07 01:30:00,-0.01,30.0
2025-11-08 01:00:00,3401.51,0.66504914,sl,3367.4949,2025-11-09 02:45:00,-0.01,105.0
2025-11-10 01:00:00,3567.85,0.73554105,tp,3639.207,2025-11-11 01:15:00,0.02,15.0
2025-11-11 01:00:00,3417.76,0.6781388,tp,3486.1152,2025-11-12 09:00:00,0.02,480.0
2025-11-12 01:00:00,3414.92,0.6357043,sl,3380.7708000000002,2025-11-13 03:15:00,-0.01,135.0
2025-11-13 01:00:00,3231.54,0.7089715,sl,3199.2246,2025-11-14 01:00:00,-0.01,0.0
2025-11-14 01:00:00,3112.4,0.74561924,tp,3174.648,2025-11-15 01:45:00,0.02,45.0
2025-11-16 01:00:00,3095.29,0.7744238,tp,3157.1958,2025-11-17 02:15:00,0.02,75.0
2025-11-17 01:00:00,3031.44,0.7823075,sl,3001.1256,2025-11-18 02:00:00,-0.01,60.0
2025-11-18 01:00:00,3123.66,0.7421586,sl,3092.4233999999997,2025-11-19 01:00:00,-0.01,0.0
2025-11-19 01:00:00,3025.48,0.8025759,sl,2995.2252,2025-11-20 10:00:00,-0.01,540.0
2025-11-20 01:00:00,2834.22,0.67729133,sl,2805.8777999999998,2025-11-21 02:45:00,-0.01,105.0
2025-11-21 01:00:00,2765.85,0.77956665,sl,2738.1915,2025-11-22 04:00:00,-0.01,180.0
2025-11-22 01:00:00,2770.12,0.6619284,tp,2825.5224,2025-11-23 02:30:00,0.02,90.0
2025-11-23 01:00:00,2802.16,0.63922185,tp,2858.2032,2025-11-24 02:00:00,0.02,60.0
2025-12-15 01:00:00,2964.85,0.6334051,sl,2935.2014999999997,2025-12-16 03:00:00,-0.01,120.0
2025-12-17 01:00:00,2833.49,0.77109796,tp,2890.1598,2025-12-18 13:00:00,0.02,720.0
2025-12-18 01:00:00,2828.57,0.74367976,tp,2885.1414000000004,2025-12-19 03:15:00,0.02,135.0
2025-12-19 01:00:00,2979.5,0.6176151,eod,2979.76,2025-12-21 00:45:00,8.72629635845673e-05,1440.0
2025-12-23 01:00:00,2965.02,0.6309978,sl,2935.3698,2025-12-24 02:30:00,-0.01,90.0
2025-12-25 01:00:00,2903.95,0.60074455,tp,2962.029,2025-12-26 02:15:00,0.02,75.0
2026-01-20 01:00:00,2939.88,0.8160639,tp,2998.6776,2026-01-21 05:45:00,0.02,285.0
2026-01-21 01:00:00,2982.27,0.60900074,sl,2952.4473,2026-01-22 14:30:00,-0.01,810.0
2026-01-23 01:00:00,2956.41,0.6062444,eod,2958.87,2026-01-25 00:45:00,0.0008320902716470437,1440.0
2026-01-24 01:00:00,2953.22,0.6848833,sl,2923.6877999999997,2026-01-25 08:30:00,-0.01,450.0
2026-01-25 01:00:00,2816.89,0.8768843,tp,2873.2278,2026-01-26 01:00:00,0.02,0.0
2026-01-26 01:00:00,2930.35,0.6408316,sl,2901.0465,2026-01-27 11:00:00,-0.01,600.0
2026-01-30 01:00:00,2707.38,0.77669805,sl,2680.3062,2026-01-31 07:30:00,-0.01,390.0
2026-01-31 01:00:00,2451.95,0.9343572,sl,2427.4305,2026-02-01 05:30:00,-0.01,270.0
2026-02-01 01:00:00,2270.15,0.88225543,tp,2315.5530000000003,2026-02-02 01:15:00,0.02,15.0
2026-02-02 01:00:00,2347.02,0.7970224,sl,2323.5498,2026-02-03 02:30:00,-0.01,90.0
2026-02-03 01:00:00,2233.72,0.91101706,tp,2278.3943999999997,2026-02-04 01:30:00,0.02,30.0
2026-02-04 01:00:00,2148.26,0.84626645,sl,2126.7774000000004,2026-02-05 01:15:00,-0.01,15.0
2026-02-05 01:00:00,1826.83,0.9585245,tp,1863.3666,2026-02-06 01:00:00,0.02,0.0
2026-02-06 01:00:00,2063.38,0.9241398,sl,2042.7462,2026-02-07 01:00:00,-0.01,0.0
2026-02-07 01:00:00,2087.08,0.71912456,sl,2066.2092,2026-02-08 04:15:00,-0.01,195.0
2026-02-09 01:00:00,2105.02,0.6991171,sl,2083.9698,2026-02-10 03:15:00,-0.01,135.0
2026-02-10 01:00:00,2022.67,0.8246081,sl,2002.4433000000001,2026-02-11 03:15:00,-0.01,135.0
2026-02-11 01:00:00,1941.18,0.8067815,tp,1980.0036,2026-02-12 06:15:00,0.02,315.0
2026-02-12 01:00:00,1947.85,0.64722186,sl,1928.3715,2026-02-13 06:15:00,-0.01,315.0
2026-02-15 01:00:00,1966.58,0.6883341,tp,2005.9116,2026-02-16 12:45:00,0.02,705.0
2026-02-17 01:00:00,1991.66,0.67031676,sl,1971.7434,2026-02-18 01:00:00,-0.01,0.0
2026-02-19 01:00:00,1949.08,0.7182427,sl,1929.5892,2026-02-20 13:30:00,-0.01,750.0
2026-03-18 01:00:00,2203.39,0.6211473,sl,2181.3561,2026-03-19 06:30:00,-0.01,330.0
